,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
144Pr,3058.7200000000003,144Pr
144Tb,2056.45,144Tb
144Xe,9252.1,144Xe
145Ba,3341.08,145Ba
145Ce,1293.98,145Ce
145Cs,5370.87,145Cs
145Dy,0.0,145Dy
145Eu,12.67,145Eu
145Gd,353.23,145Gd
145Ho,1390.44,145Ho
145La,2055.78,145La
145Pm,1.7556000000000001e-12,145Pm
145Pr,674.78,145Pr
145Xe,7661.87,145Xe
146Ba,4934.549999999999,146Ba
146Ce,1507.7,146Ce
146Cs,7534.63,146Cs
146Dy,6264.07,146Dy
146Eu,2491.8,146Eu
146Gd,2491.8,146Gd
146Ho,6264.07,146Ho
146I,12324.63,146I
146La,3827.24,146La
146Pm,871.34005,146Pm
146Pr,1292.4,146Pr
146Sm,2460.0,146Sm
146Tb,5496.0,146Tb
146Xe,9505.63,146Xe
147Ba,7342.92,147Ba
147Ce,3900.41,147Ce
147Cs,9275.09,147Cs
147Dy,156.483001408,147Dy
147Er,2650.0030014080003,147Er
147Eu,1.408e-06,147Eu
147Gd,0.4830014079999999,147Gd
147Ho,2650.003001408,147Ho
147La,5484.92,147La
147Nd,2541.91,147Nd
147Pm,2309.93,147Pm
147Pr,3210.41,147Pr
147Sm,2248.0,147Sm
147Tb,156.483001408,147Tb
147Tm,2252.5025511968,147Tm
147Xe,11554.09,147Xe
148Ba,5702.959999999999,148Ba
148Ce,1824.9,148Ce
148Cs,8156.96,148Cs
148Dy,4018.73,148Dy
148Er,7927.639999999999,148Er
148Eu,3782.891017392256,148Eu
148Gd,3182.69,148Gd
148Ho,7927.639999999999,148Ho
148La,4433.9,148La
148Pm,4511.35,148Pm
148Pr,1239.2,148Pr
148Sm,3782.54,148Sm
148Tb,4000.82,148Tb
148Tm,7927.639999999999,148Tm
149Ba,6588.6900000000005,149Ba
149Ce,2810.9,149Ce
149Cs,9095.69,149Cs
149Dy,215.72141761,149Dy
149Er,1747.21141761,149Er
149Gd,0.00217,149Gd
149Ho,836.93141761,149Ho
149La,4572.6900000000005,149La
149Nd,825.0,149Nd
149Pm,363.1,149Pm
149Pr,1635.7,149Pr
149Tb,155.69141760999997,149Tb
149Tm,1747.21141761,149Tm
149Yb,1747.21141761,149Yb
14B,6609.490000000001,14B
14Be,13257.78,14Be
14C,49.47,14C
14O,776.22,14O
150Ba,6366.54,150Ba
150Ce,2457.98,150Ce
150Cs,9117.54,150Cs
150Dy,4979.440823808,150Dy
150Er,6139.1508238080005,150Er
150Eu,0.042,150Eu
150Gd,5186.0,150Gd
150Ho,5668.570823808001,150Ho
150La,4381.54,150La
150Lu,1238.7728950854903,150Lu
150Pm,757.91,150Pm
150Pr,1841.08,150Pr
150Tb,5578.7959122,150Tb
150Tm,8517.800823808,150Tm
151Ba,7815.0,151Ba
151Ce,3430.0,151Ce
151Cs,10779.0,151Cs
151Dy,40.342355927297454,151Dy
151Er,1321.698697933052,151Er
151Gd,1.7983999999999996e-05,151Gd
151Ho,503.818697933052,151Ho
151La,5632.0,151La
151Lu,1072.211163443497,151Lu
151Nd,875.6999999999999,151Nd
151Pm,299.4,151Pm
151Pr,1990.0,151Pr
151Sm,19.5,151Sm
151Tb,4.059690517425279,151Tb
151Tm,2929.538697933052,151Tm
151Yb,2929.538697933052,151Yb
152Ba,9664.97,152Ba
152Ce,4785.969999999999,152Ce
152Cs,12040.97,152Cs
152Dy,6157.905466453758,152Dy
152Er,8209.871361047932,152Er
152Eu,1673.35905104,152Eu
152Gd,5929.4400000000005,152Gd
152Ho,6565.493610479307,152Ho
152La,7140.969999999999,152La
152Lu,13282.851361047931,152Lu
152Nd,1642.1699999999998,152Nd
152Pm,1303.6,152Pm
152Pr,3619.97,152Pr
152Tb,6160.880026480237,152Tb
152Tm,8653.65136104793,152Tm
152Yb,9856.55136104793,152Yb
153Ba,10512.77,153Ba
153Ce,5419.77,153Ce
153Dy,5.72949222798,153Dy
